,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
317,san angelo,31.46,-100.44,73.99,79.0,70.0,13.69,US,06/27/20
318,santa barbara,34.42,-119.7,60.01,100.0,90.0,4.7,US,06/27/20
319,olga,43.74,135.29,54.19,93.0,100.0,5.75,RU,06/27/20
320,hofn,64.25,-15.21,50.0,87.0,90.0,6.93,IS,06/27/20
321,vagur,61.47,-6.81,53.11,97.0,47.0,15.19,FO,06/27/20
322,acapulco,16.86,-99.89,77.67,80.0,56.0,7.74,MX,06/27/20
323,los banos,14.17,121.18,86.0,70.0,75.0,6.93,PH,06/27/20
324,aykhal,66.0,111.5,73.4,43.0,75.0,4.47,RU,06/27/20
325,muhos,64.81,25.99,68.0,45.0,11.0,11.41,FI,06/27/20
326,taoudenni,22.68,-3.98,114.66,5.0,0.0,12.03,ML,06/27/20
327,humaita,-7.51,-63.02,77.76,72.0,5.0,1.79,BR,06/27/20
328,camacha,33.08,-16.33,71.6,83.0,75.0,14.99,PT,06/27/20
329,janauba,-15.8,-43.31,71.6,59.0,32.0,2.84,BR,06/27/20
330,meiktila,20.87,95.87,81.99,74.0,72.0,16.4,MM,06/27/20
331,valparaiso,-33.04,-71.63,42.8,87.0,91.0,1.12,CL,06/27/20
332,santa lucia,27.91,-15.54,75.2,57.0,40.0,28.86,ES,06/27/20
333,matara,5.95,80.54,83.19,77.0,68.0,12.53,LK,06/27/20
334,tura,25.52,90.22,76.53,95.0,98.0,8.52,IN,06/27/20
335,katsuura,35.13,140.3,77.0,77.0,100.0,3.0,JP,06/27/20
336,coihaique,-45.58,-72.07,26.6,79.0,90.0,4.7,CL,06/27/20
337,terrace,54.52,-128.6,48.09,83.0,89.0,1.68,CA,06/27/20
